"","country","region","fertility","gdp_pc","edu_sec","life_expectancy"
"28","British Virgin Islands","Latin America & Caribbean",0.905,NA,65.9177456207159,76.728
"29","Brunei Darussalam","East Asia & Pacific",1.848,30988.1190497851,89.1818084716797,74.992
"30","Bulgaria","Europe & Central Asia",1.73,9872.38507789106,104.043922424316,74.9634146341464
"31","Burkina Faso","Sub-Saharan Africa",4.921,777.465618514048,39.6278467471779,59.972
"32","Burundi","Sub-Saharan Africa",5.38,224.89939239264,46.330394174756,61.806
"33","Cabo Verde","Sub-Saharan Africa",1.804,4294.96510035729,94.8972015380859,74.84
"34","Cambodia","East Asia & Pacific",2.724,2036.67377566578,50.199099715459,69.993
"35","Cameroon","Sub-Saharan Africa",4.74,1610.69641591017,NA,61.189
"36","Canada","North America",1.51,46539.1761570405,111.833679199219,81.8087804878049
"37","Cayman Islands","Latin America & Caribbean",1.277,83865.5531568184,89.0140845070423,78.835
"38","Central African Republic","Sub-Saharan Africa",6.108,455.243962859534,NA,52.297
"39","Chad","Sub-Saharan Africa",6.464,948.656629871231,20.0021180694774,52.447
"40","Channel Islands","Europe & Central Asia",1.37,60783.3529257544,NA,81.1
"41","Chile","Latin America & Caribbean",1.543,15659.4808675628,103.173049926758,80.559
"42","China","East Asia & Pacific",1.539,10085.6638148819,NA,77.709
"43","Colombia","Latin America & Caribbean",1.715,6816.96818309544,100.373336791992,76.579
"44","Comoros","Sub-Saharan Africa",4.208,1540.71132331975,61.7014685443494,65.401
"45","Congo, Dem. Rep.","Sub-Saharan Africa",6.302,528.256019777898,NA,59.926
"46","Congo, Rep.","Sub-Saharan Africa",4.442,2694.43413191427,NA,64.472
"47","Costa Rica","Latin America & Caribbean",1.706,12590.2493781628,125.964347839355,80.09
"48","Cote d'Ivoire","Sub-Saharan Africa",4.596,2130.86619381144,51.072614509286,59.795
"49","Croatia","Europe & Central Asia",1.47,15460.4183295843,104.960083007812,77.919512195122
"50","Cuba","Latin America & Caribbean",1.607,8911.46205964193,99.5805926474392,77.426
"51","Curacao","Latin America & Caribbean",1.7,19119.1243941688,NA,76.493
"52","Cyprus","Europe & Central Asia",1.319,29599.986328125,100.253517150879,81.556
"53","Czechia","Europe & Central Asia",1.71,23705.9329811299,101.514892578125,79.0292682926829
"54","Denmark","Europe & Central Asia",1.73,61324.7665045565,129.849563598633,80.9536585365854
"55","Djibouti","Middle East & North Africa",2.858,2718.08338799203,NA,64.105
"56","Dominica","Latin America & Caribbean",1.517,9215.3085405645,NA,71.378
"57","Dominican Republic","Latin America & Caribbean",2.397,7882.98221584944,80.2159299988463,73.555
"58","Ecuador","Latin America & Caribbean",2.111,6303.91886658338,94.9748100922065,77.248
"59","Egypt, Arab Rep.","Middle East & North Africa",3.02,2484.70315630508,76.9816189396849,70.974
"60","El Salvador","Latin America & Caribbean",1.849,4183.54620971358,66.9325713689265,71.384
"61","Equatorial Guinea","Sub-Saharan Africa",4.513,8102.47084834031,NA,61.915
"62","Eritrea","Sub-Saharan Africa",4.056,NA,46.1723785400391,66.979
"63","Estonia","Europe & Central Asia",1.67,23618.1361254581,112.759696960449,78.2439024390244
"64","Eswatini","Sub-Saharan Africa",2.971,3973.46344933667,NA,58.707
"65","Ethiopia","Sub-Saharan Africa",4.371,747.968003672674,NA,65.257
"66","Faroe Islands","Europe & Central Asia",2.5118,62526.4908515743,NA,82.2926829268293
"67","Fiji","East Asia & Pacific",2.419,6085.41979485376,92.0806759919252,66.965
"68","Finland","Europe & Central Asia",1.41,49654.2497035329,153.651428222656,81.7341463414634
"69","France","Europe & Central Asia",1.87,41418.1766484844,103.773330688477,82.6756097560976
"70","French Polynesia","East Asia & Pacific",1.645,21925.616043938,NA,82.985
"71","Gabon","Sub-Saharan Africa",3.908,7624.2775233771,NA,67.043
"72","Gambia, The","Sub-Saharan Africa",4.42,696.219806960615,NA,64.034
"73","Georgia","Europe & Central Asia",2.093,4804.0546040444,111.616827005361,73.985
"74","Germany","Europe & Central Asia",1.57,48874.8595028454,100.837303161621,80.8926829268293
"75","Ghana","Sub-Saharan Africa",3.65,2195.32166016377,68.2222557975165,64.138
"76","Gibraltar","Europe & Central Asia",1.921,NA,NA,83.028
"77","Greece","Europe & Central Asia",1.35,19873.4015238771,103.891693115234,81.7878048780488
"78","Greenland","Europe & Central Asia",2,54545.135857765,NA,71.9675609756098
"79","Grenada","Latin America & Caribbean",1.53,10083.021279225,110.379410343161,74.957
"80","Guam","East Asia & Pacific",2.995,37195.9503070464,NA,76.561
"81","Guatemala","Latin America & Caribbean",2.743,4352.94651790253,54.0797647125185,71.496
"82","Guinea","Sub-Saharan Africa",4.669,933.273615633705,NA,59.043
"83","Guinea-Bissau","Sub-Saharan Africa",4.241,808.531613218504,NA,61.652
"84","Guyana","Latin America & Caribbean",2.553,6048.38697180418,NA,68.829
"85","Haiti","Latin America & Caribbean",2.924,1496.38048970156,NA,64.077
"86","Honduras","Latin America & Caribbean",2.645,2464.64241531918,NA,72.001
"87","Hong Kong SAR, China","East Asia & Pacific",1.08,48537.5668888343,108.16398016119,84.869756097561
"88","Hungary","Europe & Central Asia",1.55,16605.0570511887,103.749549865723,76.0658536585366
"89","Iceland","Europe & Central Asia",1.71,74452.1890731447,114.649406433105,82.8609756097561
